"","airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"1","TACA",259373346,3,1,3,1,1,3
"2","Thai Airways",1702802250,8,4,308,2,1,1
"3","United / Continental*",7139291291,19,8,319,14,2,109
"4","Aerolineas Argentinas",385803648,6,0,0,1,0,0
"5","Saudi Arabian",859673901,7,2,313,11,0,0
"6","Alaska Airlines*",965346773,5,0,0,5,1,88
"7","SWISS*",792601299,2,1,229,3,0,0
"8","Condor",417982610,2,1,16,0,0,0
"9","Japan Airlines",1574217531,3,1,520,0,0,0
"10","Air India*",869253552,2,1,329,4,1,158
"11","Austrian Airlines",358239823,1,0,0,1,0,0
"12","Singapore Airlines",2376857805,2,2,6,2,1,83
"13","Vietnam Airlines",625084918,7,3,171,1,0,0
"14","Royal Air Maroc",295705339,5,3,51,3,0,0
"15","Virgin Atlantic",1005248585,1,0,0,0,0,0
